Year,State,TAVG,TAVG_C,PRCP,Yield_bu_acre
2000,ALABAMA,63.549019607843135,17.52723311546841,43.035353535353536,65.0
2001,ALABAMA,62.933928571428574,17.185515873015873,60.55544554455446,107.0
2002,ALABAMA,63.621428571428574,17.567460317460316,56.53653465346535,88.0
2003,ALABAMA,62.605,17.002777777777776,64.35401960784313,122.0
2004,ALABAMA,63.179661016949154,17.322033898305087,60.25927835051546,123.0
2005,ALABAMA,63.26338028169014,17.368544600938964,57.82989795918368,119.0
2006,ALABAMA,64.18484848484849,17.88047138047138,47.86701030927836,72.0
2007,ALABAMA,64.08823529411765,17.826797385620917,37.60990654205607,78.0
2008,ALABAMA,62.25616438356164,16.8089802130898,55.09594444444445,104.0
2009,ALABAMA,62.39302325581396,16.885012919896642,73.5238,108.0
2010,ALABAMA,62.34516129032259,16.858422939068102,49.53322274881517,115.0
2011,ALABAMA,63.58387096774194,17.546594982078854,53.99907766990291,114.0
2012,ALABAMA,64.73655913978494,18.186977299880525,54.395,98.0
2013,ALABAMA,62.5425,16.96805555555555,66.2382722513089,147.0
2014,ALABAMA,61.75862068965517,16.532567049808428,58.36173469387755,159.0
2015,ALABAMA,64.34935064935064,17.971861471861466,62.875,147.0
2016,ALABAMA,65.11621621621622,18.3978978978979,47.03871134020618,120.0
2017,ALABAMA,64.67538461538462,18.152991452991454,66.61858823529411,167.0
2018,ALABAMA,64.28142857142856,17.93412698412698,67.18325714285714,156.0
2019,ALABAMA,64.9470588235294,18.303921568627445,60.96429378531074,147.0
2020,ALABAMA,64.11304347826088,17.84057971014493,72.61639344262295,158.0
2021,ALABAMA,63.80746268656717,17.67081260364843,69.56803370786517,163.0
2022,ALABAMA,63.25945945945946,17.366366366366364,61.143106796116506,118.0
2023,ALABAMA,65.07222222222222,18.373456790123456,52.71885245901639,164.0
2024,ALABAMA,65.02133333333335,18.345185185185194,57.74245989304813,112.0
2000,ARIZONA,59.59015151515151,15.327861952861952,14.25820143884892,196.0
2001,ARIZONA,60.025,15.569444444444445,12.833774834437088,208.0
2002,ARIZONA,59.93214285714286,15.517857142857142,8.451161290322581,185.0
2003,ARIZONA,60.54413793103448,15.857854406130265,12.480869565217391,190.0
2004,ARIZONA,59.70955882352941,15.39419934640523,15.202229299363058,180.0
2005,ARIZONA,59.54275862068966,15.301532567049811,15.789305555555554,195.0
2006,ARIZONA,58.67867647058824,14.82148692810458,11.611475409836064,170.0
2007,ARIZONA,59.08345323741008,15.046362909672268,13.90565891472868,185.0
2008,ARIZONA,57.716923076923074,14.287179487179486,16.062743362831856,165.0
2009,ARIZONA,59.03877551020409,15.021541950113383,9.082432432432432,175.0
2010,ARIZONA,58.13229813664596,14.517943409247753,15.877288888888888,210.0
2011,ARIZONA,58.75597826086957,14.86443236714976,10.396848249027236,178.0
2012,ARIZONA,59.88042328042328,15.4891240446796,10.380397111913355,195.0
2013,ARIZONA,57.75517241379311,14.308429118773951,12.776589147286822,177.0
2014,ARIZONA,59.58527607361963,15.32515337423313,12.895636363636363,210.0
2015,ARIZONA,58.72363636363636,14.846464646464645,15.1451953125,210.0
2016,ARIZONA,59.55975609756097,15.310975609756095,13.790905511811022,215.0
2017,ARIZONA,59.9006711409396,15.500372856077556,10.739274809160303,195.0
2018,ARIZONA,59.25793103448276,15.143295019157089,13.903953488372093,220.0
2019,ARIZONA,57.50422535211268,14.169014084507044,16.724507575757578,231.0
2020,ARIZONA,60.26,15.699999999999998,7.245987055016182,202.0
2021,ARIZONA,58.84964028776979,14.91646682653877,15.941033333333335,181.0
2022,ARIZONA,58.08783783783784,14.493243243243244,14.11375796178344,220.0
2023,ARIZONA,57.347972972972975,14.082207207207208,11.784405144694531,206.0
2024,ARIZONA,59.56578947368421,15.314327485380119,11.718980263157896,225.0
2000,ARKANSAS,60.60576923076923,15.892094017094017,45.89587412587412,130.0
2001,ARKANSAS,61.19130434782608,16.217391304347824,54.41489361702128,145.0
2002,ARKANSAS,60.53000000000001,15.850000000000003,51.63945945945946,134.0
2003,ARKANSAS,60.18428571428571,15.657936507936503,43.66928057553957,140.0
2004,ARKANSAS,60.82089552238806,16.011608623548923,56.163823529411765,140.0
2005,ARKANSAS,61.78857142857142,16.549206349206347,36.02313043478261,131.0
2006,ARKANSAS,61.87283950617284,16.5960219478738,50.00335616438356,146.0
2007,ARKANSAS,61.69589041095891,16.49771689497717,46.51713333333333,169.0
2008,ARKANSAS,59.69857142857143,15.388095238095238,61.775510204081634,152.0
2009,ARKANSAS,60.10144927536232,15.611916264090176,71.61564285714286,148.0
2010,ARKANSAS,60.93372093023256,16.074289405684755,39.20079754601227,150.0
2011,ARKANSAS,61.55222222222222,16.4179012345679,57.56562913907285,141.0
2012,ARKANSAS,63.42068965517242,17.45593869731801,39.29225165562914,178.0
2013,ARKANSAS,59.31084337349398,15.172690763052211,53.38910179640718,186.0
2014,ARKANSAS,58.6632183908046,14.812899106002558,47.66010810810811,187.0
2015,ARKANSAS,60.99775280898877,16.109862671660427,68.52281914893616,181.0
2016,ARKANSAS,62.55542168674699,16.975234270414994,49.28081218274112,171.0
2017,ARKANSAS,62.16144578313253,16.75635876840696,50.86520618556701,183.0
2018,ARKANSAS,60.4978021978022,15.832112332112334,63.74510101010102,181.0
2019,ARKANSAS,60.78846153846154,15.993589743589745,66.77979166666667,175.0
2020,ARKANSAS,60.64125,15.911805555555556,64.16538461538461,184.0
2021,ARKANSAS,61.0277108433735,16.126506024096386,51.38811320754717,184.0
2022,ARKANSAS,60.881818181818176,16.045454545454543,52.35269938650307,173.0
2023,ARKANSAS,62.62800000000001,17.01555555555556,52.31889570552147,183.0
2024,ARKANSAS,63.06825396825397,17.260141093474427,54.37649253731343,187.0
2000,CALIFORNIA,58.04031413612566,14.466841186736477,24.099971014492752,170.0
2001,CALIFORNIA,58.2546835443038,14.585935302391002,24.04769911504425,170.0
2002,CALIFORNIA,57.81197007481296,14.33998337489609,20.132820512820512,170.0
2003,CALIFORNIA,58.47274826789838,14.707082371054659,22.699942196531797,160.0
2004,CALIFORNIA,58.02727272727272,14.459595959595951,23.19942363112392,175.0
2005,CALIFORNIA,57.52511627906976,14.180620155038758,32.79891719745223,172.0
2006,CALIFORNIA,57.3847775175644,14.102654176424668,27.869741935483876,165.0
2007,CALIFORNIA,57.45245535714286,14.140252976190478,14.717383177570092,182.0
2008,CALIFORNIA,57.6563679245283,14.253537735849054,19.552955974842767,195.0
2009,CALIFORNIA,57.65877192982457,14.254873294346984,19.35,180.0
2010,CALIFORNIA,56.5960088691796,13.664449371766445,33.57393406593406,192.0
2011,CALIFORNIA,56.60259179265659,13.668106551475883,20.373350785340318,181.0
2012,CALIFORNIA,58.47040169133192,14.705778717406623,23.781011764705884,180.0
2013,CALIFORNIA,58.43894523326572,14.688302907369843,7.658563218390805,191.0
2014,CALIFORNIA,60.47773359840954,15.820963110227524,20.482542056074767,165.0
2015,CALIFORNIA,59.97582846003898,15.542126922243881,14.631843971631207,157.0
2016,CALIFORNIA,58.83291925465839,14.907177363699109,26.663685152057244,185.0
2017,CALIFORNIA,59.03556485355649,15.019758251975825,30.5988122605364,167.0
2018,CALIFORNIA,58.8188796680498,14.899377593361002,19.74749027237354,173.0
2019,CALIFORNIA,57.31670281995662,14.0648348999759,32.84057259713701,168.0
2020,CALIFORNIA,59.41546610169491,15.230814500941616,13.776859205776171,187.0
2021,CALIFORNIA,59.00711206896552,15.003951149425287,22.74685816876122,188.0
2022,CALIFORNIA,59.032751091703055,15.018195050946142,15.945374280230329,177.0
2023,CALIFORNIA,57.29786324786325,14.054368471035138,32.2675390625,178.0
2024,CALIFORNIA,59.24191489361702,15.13439716312057,30.30228,182.0
2000,COLORADO,43.83238866396761,6.573549257759785,19.97885714285714,126.0
2001,COLORADO,43.71468253968254,6.508156966490301,18.59575342465753,140.0
2002,COLORADO,43.36337448559671,6.312985825331505,13.966768707482991,150.0
2003,COLORADO,44.437401574803154,6.909667541557308,19.43457478005865,135.0
2004,COLORADO,43.04721189591079,6.137339942172662,21.48020512820513,135.0
2005,COLORADO,44.21751824817518,6.787510137875101,20.39740990990991,148.0
2006,COLORADO,43.68134328358209,6.489635157545604,19.626301969365425,156.0
2007,COLORADO,43.81172413793103,6.562068965517239,19.92151898734177,140.0
2008,COLORADO,41.78050541516246,5.433614119534699,18.432376237623764,137.0
2009,COLORADO,42.31004016064257,5.727800089245873,21.107982832618024,153.0
2010,COLORADO,43.15418060200669,6.196767001114828,19.169964093357272,151.0
2011,COLORADO,42.654037267080746,5.9189095928226365,19.67471663619744,133.0
2012,COLORADO,45.268181818181816,7.37121212121212,13.171357142857143,133.0
2013,COLORADO,41.95339506172839,5.529663923182441,21.385773381294964,131.0
2014,COLORADO,42.923624595469256,6.068680330816253,21.328260105448155,146.0
2015,COLORADO,43.9953795379538,6.664099743307668,23.75238260869565,142.0
2016,COLORADO,43.98,6.655555555555554,18.194689165186503,137.0
2017,COLORADO,44.86788079470199,7.148822663723327,20.31743055555556,143.0
2018,COLORADO,43.95508196721311,6.641712204007284,15.7989898989899,129.0
2019,COLORADO,42.10191082802548,5.612172682236379,20.359420783645657,123.0
2020,COLORADO,43.8123417721519,6.562412095639946,13.366735598227477,116.0
2021,COLORADO,44.30947712418301,6.838598402323895,17.92975867269985,129.0
2022,COLORADO,42.65844594594594,5.921358858858857,17.213649068322983,121.0
2023,COLORADO,42.50344827586207,5.835249042145595,20.97060606060606,122.0
2024,COLORADO,44.255627009646304,6.808681672025724,19.427749576988155,116.0
2000,DELAWARE,54.9,12.722222222222221,48.63,162.0
2001,DELAWARE,56.38,13.544444444444444,39.19833333333333,146.0
2002,DELAWARE,57.25,14.027777777777779,47.42,84.0
2003,DELAWARE,54.6,12.555555555555555,59.33833333333333,123.0
2004,DELAWARE,56.2,13.444444444444446,44.42,152.0
2005,DELAWARE,55.56666666666666,13.09259259259259,45.756,143.0
2006,DELAWARE,57.6,14.222222222222221,48.19833333333333,145.0
2007,DELAWARE,56.2375,13.465277777777777,41.56285714285714,99.0
2008,DELAWARE,56.6,13.666666666666666,42.98333333333333,125.0
2009,DELAWARE,55.28,12.933333333333334,56.19333333333333,145.0
2010,DELAWARE,56.720000000000006,13.733333333333336,41.70727272727272,114.0
2011,DELAWARE,57.18333333333334,13.990740740740742,52.84090909090909,130.0
2012,DELAWARE,58.65,14.805555555555555,37.99,135.0
2013,DELAWARE,56.15,13.416666666666666,51.693000000000005,166.0
2014,DELAWARE,55.025,12.791666666666666,47.22444444444445,200.0
2015,DELAWARE,56.5,13.61111111111111,49.02428571428572,192.0
2016,DELAWARE,57.63333333333333,14.24074074074074,48.5,170.0
2017,DELAWARE,57.35,14.083333333333334,44.88666666666667,189.0
2018,DELAWARE,57.5,14.166666666666666,62.064375,145.0
2019,DELAWARE,57.025,13.902777777777779,44.67823529411765,161.0
2020,DELAWARE,57.24,14.022222222222224,59.7512,160.0
2021,DELAWARE,57.17999999999999,13.988888888888885,44.0,184.0
2022,DELAWARE,56.35,13.527777777777779,44.44,170.0
2023,DELAWARE,57.76666666666667,14.314814814814818,50.23464285714285,189.0
2024,DELAWARE,57.583333333333336,14.212962962962965,41.833333333333336,171.0
2000,FLORIDA,71.6448717948718,22.024928774928778,41.90626168224299,75.0
2001,FLORIDA,72.29347826086956,22.38526570048309,54.17821428571428,87.0
2002,FLORIDA,72.71046511627907,22.61692506459948,58.37513274336283,96.0
2003,FLORIDA,72.38020833333333,22.43344907407407,58.67713114754098,82.0
2004,FLORIDA,72.1546511627907,22.308139534883722,55.57917355371901,90.0
2005,FLORIDA,71.88541666666667,22.15856481481482,60.38142857142857,94.0
2006,FLORIDA,72.4170731707317,22.453929539295387,42.27324137931034,82.0
2007,FLORIDA,73.07520661157025,22.81955922865014,46.09520833333333,90.0
2008,FLORIDA,72.34473684210526,22.413742690058477,52.48994974874372,110.0
2009,FLORIDA,72.69137931034483,22.606321839080458,54.56595833333333,97.0
2010,FLORIDA,70.4344,21.35244444444444,49.5080303030303,109.0
2011,FLORIDA,73.18955223880597,22.883084577114428,49.32678832116789,104.0
2012,FLORIDA,73.16712328767123,22.87062404870624,56.88127147766323,115.0
2013,FLORIDA,73.38359375,22.990885416666668,57.27027972027972,133.0
2014,FLORIDA,72.31716417910448,22.398424543946934,60.1770818505338,135.0
2015,FLORIDA,74.91230769230769,23.840170940170943,54.9152688172043,141.0
2016,FLORIDA,73.9512396694215,23.306244260789722,56.37287822878229,145.0
2017,FLORIDA,74.092,23.38444444444444,63.064296875,161.0
2018,FLORIDA,74.10714285714286,23.392857142857146,60.81858657243816,157.0
2019,FLORIDA,74.94639175257733,23.859106529209626,56.11923322683706,161.0
2020,FLORIDA,74.66595744680852,23.7033096926714,60.78407713498623,138.0
2021,FLORIDA,73.77378640776699,23.207659115426104,56.45471544715448,176.0
2022,FLORIDA,74.34148936170213,23.523049645390074,58.0915,164.0
2023,FLORIDA,74.97978723404256,23.87765957446809,55.74835227272727,158.0
2024,FLORIDA,74.441,23.578333333333333,61.50984894259818,141.0
2000,GEORGIA,63.24038461538461,17.35576923076923,41.98509259259259,107.0
2001,GEORGIA,63.37966101694916,17.4331450094162,42.690458715596336,134.0
2002,GEORGIA,63.27903225806452,17.37724014336918,50.72289256198347,110.0
2003,GEORGIA,62.478947368421046,16.932748538011694,57.84181818181818,126.0
2004,GEORGIA,63.23253012048193,17.351405622489963,52.852881355932205,128.0
2005,GEORGIA,62.92857142857143,17.182539682539684,55.90823529411765,128.0
2006,GEORGIA,64.05869565217391,17.81038647342995,41.38669642857143,110.0
2007,GEORGIA,64.26263736263736,17.923687423687422,37.41107142857143,127.0
2008,GEORGIA,62.91294117647059,17.173856209150326,47.4596875,140.0
2009,GEORGIA,63.05591397849462,17.253285543608126,65.12820987654321,140.0
2010,GEORGIA,62.51089108910892,16.950495049504955,44.78242268041237,146.0
2011,GEORGIA,64.22407407407407,17.902263374485592,41.89685714285714,159.0
